2527 3
1476857931.098805 0.000000 0.000000
1476857932.144056 0.000000 0.000000
1476857933.192345 -1.048283 37.629562
1476857934.233959 -1.048283 37.629562
1476857935.272327 -1.048283 37.629562
1476857936.312200 -1.048283 37.629562
1476857937.352750 -1.048283 37.629562
1476857938.392446 -1.048283 37.629562
1476857939.442632 -1.048283 37.629562
1476857940.484683 -1.048283 37.629562
1476857941.524066 -1.048283 37.629562
1476857942.563800 -1.048283 37.629562
1476857943.604153 -1.048283 37.629562
1476857944.643512 -1.048283 37.629562
1476857945.684304 -1.048283 37.629562
1476857946.724863 -1.048283 37.629562
1476857947.774699 -1.048283 37.629563
1476857948.814352 -1.048283 37.629563
1476857949.853898 -1.048283 37.629563
1476857950.894561 -1.048283 37.629563
1476857951.934277 -1.048283 37.629563
1476857952.973713 -1.048283 37.629563
1476857954.015683 -1.048283 37.629563
1476857955.053752 -1.048283 37.629563
1476857956.107473 -1.048283 37.629563
1476857957.145203 -1.048283 37.629563
1476857958.184484 -1.048285 37.629563
1476857959.226120 -1.048285 37.629563
1476857960.265084 -1.048287 37.629565
1476857961.305400 -1.048302 37.629550
1476857962.346060 -1.048302 37.629550
1476857963.385801 -1.048353 37.629488
1476857964.439645 -1.048383 37.629452
1476857965.487029 -1.048383 37.629452
1476857966.526438 -1.048465 37.629375
1476857967.566893 -1.048503 37.629342
1476857968.607361 -1.048503 37.629342
1476857969.647012 -1.048580 37.629280
1476857970.686871 -1.048580 37.629280
1476857971.727204 -1.048598 37.629248
1476857972.779642 -1.048575 37.629153
1476857973.815851 -1.048575 37.629153
1476857974.855153 -1.048575 37.629153
1476857975.946879 -1.048447 37.629183
1476857976.986171 -1.048447 37.629183
1476857978.026927 -1.048400 37.629193
1476857979.067227 -1.048285 37.629205
1476857980.106036 -1.048285 37.629205
1476857981.159567 -1.048162 37.629213
1476857982.195668 -1.048100 37.629228
1476857983.235709 -1.048100 37.629228
1476857984.275475 -1.047990 37.629225
1476857985.316282 -1.047932 37.629218
1476857986.355599 -1.047932 37.629218
1476857987.396189 -1.047808 37.629205
1476857988.435821 -1.047737 37.629197
1476857989.486389 -1.047737 37.629197
1476857990.528329 -1.047585 37.629180
1476857991.567442 -1.047507 37.629180
1476857992.608010 -1.047507 37.629180
1476857993.647888 -1.047338 37.629187
1476857994.687196 -1.047338 37.629187
1476857995.727913 -1.047270 37.629182
1476857996.767496 -1.047100 37.629107
1476857997.821979 -1.047100 37.629107
1476857998.866874 -1.047100 37.629107
1476857999.907177 -1.047003 37.629038
1476858000.946979 -1.047003 37.629038
1476858001.986383 -1.046995 37.629033
