239108 3
0.269 2.846 6.93
0.265 0.85 6.925
0.223 0.341 6.198
0.145 0.506 4.655
0.141 0.102 4.328
0.169 0 5.336
0.166 0.271 4.528
0.123 0.337 4.326
0.198 0 5.003
0.122 -1.059 6.719
0.186 -6.432 6.928
0.227 1.992 6.66
0.201 2.062 5.66
0.187 0.303 5.661
0.163 1.289 4.794
0.209 0.641 4.931
0.184 0.267 4.532
0.217 -0.24 4.735
0.219 -2.044 4.332
0.23 -3.194 4.467
0.3 0.658 6.28
0.271 0.512 6.726
0.327 0.34 6.668
0.316 1.081 6.332
0.275 0.784 5.661
0.242 -0.89 4.258
0.267 -6.132 5.071
0.343 4.452 6.879
0.495 1.552 5.928
0.099 0.803 6.323
0.13 0.061 6.258
0.158 0.545 6.466
0.122 1.12 5.661
0.125 0.748 5.459
0.108 0.44 4.658
0.125 -0.478 5.264
0.148 -0.032 5.331
0.007 0.949 6.117
0.003 1.092 5.583
0.002 0.165 5.862
0.015 0.199 6.802
0.045 -0.856 5.459
0.018 -7.895 5.862
0.035 2.798 5.869
0.015 2.562 4.795
0.009 1.999 5.463
0.009 1.116 4.05
0.032 0.881 3.66
0.058 0.471 3.997
0.148 0.649 6.467
0.188 0.438 6.511
0.104 0.746 5.709
0.063 0.443 4.653
0.094 0.41 5.192
0.111 0.165 5.063
0.114 0.308 4.125
0.105 0.267 3.929
0.125 0.307 4.131
0.163 -1.367 4.198
0.158 -6.334 3.392
0.153 2.91 3.392
0.176 1.556 3.459
0.126 1.454 2.116
0.171 0.409 3.262
0.214 0.535 3.936
0.316 0.475 5.664
0.049 0.239 6.524
0.018 -0.375 5.928
0.028 0.786 6.328
0.009 0.307 4.183
0.001 0.409 3.862
0.014 0.541 3.929
0.022 -1.061 5.395
0.052 -7.908 6.601
0.047 5.453 5.59
0.02 1.947 3.384
0.005 1.958 3.72
0.028 1.22 5.594
0.058 0.268 5.325
0.078 0.239 5.929
0.105 -0.069 6.255
0.047 -0.342 4.454
0.032 -1.366 4.324
0.019 2.193 3.793
0.035 0.98 4.534
0.048 1.354 4.534
0.049 0.844 3.526
0.049 0.443 3.123
0.055 0.882 2.653
0.052 0.168 2.323
0.067 0.406 2.457
0.058 0.546 2.324
0.081 0.273 2.655
0.111 0.273 3.526
0.177 -1.708 5.389
0.213 -6.307 6.452
0.077 2.556 6.123
0.053 2.092 5.659
0.063 1.49 6.063
0.068 0.879 6.399
0.093 1.019 6.594
0.087 0.879 6.993
0.092 0.991 6.989
0.078 0.403 6.585
0.057 0.506 5.988
0.075 0.478 6.862
0.046 0.171 6.316
0.02 0.508 5.986
0.033 0.238 6.061
0.046 0.609 5.929
0.062 0.239 5.459
0.078 -0.82 4.925
0.082 -5.583 4.326
0.11 -10.319 4.328
0.154 3.653 4.735
0.157 3.208 4.26
0.152 1.517 4.6
0.183 0.711 5.202
0.262 1.051 6.004
0.327 0.714 4.987
0.303 0.167 5.324
0.341 0.506 5.937
0.317 0.684 5.464
0.304 0.507 5.936
0.293 0.101 5.668
0.27 0.474 4.789
0.255 -0.24 5.13
0.272 0.17 4.728
0.215 0.273 3.994
0.297 -1.059 5.34
0.013 -6.984 6.921
0.077 -10.212 5.987
0.065 3.897 6.986
0.008 2.399 6.651
0.01 1.725 6.391
0.006 1.049 6.123
0.004 0 5.392
0.016 0.211 5.795
0.021 1.255 5.325
0.023 0.843 5.526
0.029 -0.171 5.062
0.027 -1.64 4.593
0.026 0.144 4.593
0.021 0.544 3.657
0.025 -0.074 3.526
0.059 -1.201 4.265
0.133 -1.831 6.262
0.211 -0.738 6.785
0.08 -3.82 5.256
0.043 1.791 5.059
0.045 1.965 4.392
0.043 2.137 4.191
0.054 1.426 4.198
0.063 0.744 4.131
0.072 1.087 3.594
0.068 0.028 3.392
0.061 0.545 2.788
0.076 0.513 3.123
0.08 0.54 2.654
0.1 -0.136 3.057
0.098 -0.205 2.789
0.142 -0.376 3.997
0.319 -2.044 6.465
0.138 -2.441 6.315
0.141 -1.894 6.123
0.118 -3.738 6.19
0.117 -5.187 6.129
0.116 4.342 5.928
0.113 1.24 5.661
0.129 -0.138 6.265
0.092 -0.994 4.856
0.112 -1.254 5.531
0.126 -0.872 5.664
0.116 -0.917 5.595
0.108 -0.544 5.063
0.148 0.307 5.462
0.047 0.034 6.923
0.065 -0.171 6.594
0.065 0.004 6.063
0.067 0.201 5.325
0.053 0.102 4.727
0.066 0 4.862
0.067 -0.239 4.461
0.056 1.591 3.795
0.054 0.706 3.392
0.044 1.359 2.922
0.06 1.152 3.191
0.094 0.503 3.459
0.088 -0.307 6.723
0.061 -1.257 5.66
0.047 -1.214 5.867
0.077 0.139 6.402
0.078 0.171 5.661
0.09 -0.307 5.13
0.11 -0.444 5.198
0.121 -0.676 5.064
0.141 -0.982 5.064
0.134 -0.949 4.459
0.136 -1.904 4.661
0.107 3.461 3.994
0.105 1.169 3.997
0.181 1.695 5.139
0.191 2.107 6.648
0.088 0.707 6.115
0.096 1.052 5.727
0.123 0.507 6.668
0.128 1.023 6.735
0.141 0.269 6.668
0.13 0.334 6.332
0.104 0.443 5.459
0.107 0.376 5.593
0.131 0.102 5.797
0.131 0.307 5.795
0.098 0.035 4.452
0.081 -1.641 4.32
0.121 -5.451 5.467
0.041 4.202 5.924
0.054 1.617 5.392
0.059 0.27 5.194
0.056 -1.342 4.594
0.042 -1.5 4.056
0.035 -0.628 3.526
0.051 0.623 3.929
0.051 2.65 3.526
0.048 0.739 3.459
0.067 1.082 4.064
0.156 0.78 6.598
0.017 0.54 5.986
0.002 1.025 5.189
0.002 0.205 5.13
0.002 -0.929 5.467
0.002 -7.296 4.862
0.002 1.148 4.661
0.002 0.336 4.118
0.002 0.27 4.122
0.002 0.136 3.385
0.01 0.335 2.72
0.03 0.579 2.989
0.038 0.341 4.332
0.098 -0.444 6.535
0.037 -0.41 6.054
0.012 0.342 5.793
0.005 0.748 5.862
0.007 0.844 5.929
0.002 0.065 6.326
0.003 -2.927 6.665
